id_bien;No_voie;B_T_Q;Type_voie;Voie;Code_postal;id_codedep_codecommune;Type_local;surface_carrez;Surface_local;total_piece
13107;97;B;AV;DE LA REPUBLIQUE;93300;93001;Appartement;42,04;42;2
13108;17;;CHE;DE LA RENARDIERE;93220;93032;Appartement;95,43;85;3
13109;3;;RUE;LEON BLUM;93220;93032;Appartement;64,87;20;1
13110;1;;ALL;DES SYCOMORES;93460;93033;Maison;100,98;100;5
13111;52;;ALL;DES CHARMILLES;93190;93046;Appartement;27,91;27;1
13112;42;B;AV;GABRIEL PERI;93100;93048;Appartement;30,07;30;2
13113;155;;AV;DU MARECHAL LECLERC;93330;93050;Appartement;63,74;63;3
13114;66;;RUE;DE PARIS;93380;93059;Appartement;34,45;34;2
13115;29;;RUE;DE BRETAGNE;93270;93071;Appartement;26,77;38;1
13116;40;;AV;LIEGEARD;93270;93071;Appartement;51,7;48;3
13117;9;;RUE;ROGER GAUTRE;93240;93072;Appartement;27,13;25;2
13118;42;;RUE;DE LA MARE NEUVE;93410;93074;Appartement;84,7;85;4
13119;15;;RUE;PIERRE CURIE;94110;94003;Appartement;42,22;37;3
13120;16;;RUE;ALFRED DE MUSSET;94450;94044;Appartement;67,53;68;3
13121;23;;RUE;CARNOT;94700;94046;Appartement;13,08;20;1
13122;46;;RUE;DE LA BELLE IMAGE;94700;94046;Appartement;37,75;38;2
13123;39;;AV;DE LA BELLE GABRIELLE;94130;94052;Appartement;30,11;31;1
13124;27;;RUE;JEANNE D ARC;94160;94067;Appartement;41,95;38;3
13125;85;T;AV;FOCH;94100;94068;Appartement;57,8;55;3
13126;14;;ALL;DU PERRUCHET;94320;94073;Appartement;43,01;43;2
13127;5;;ALL;DES SYCOMORES;94440;94075;Appartement;66,46;65;3
13128;57;;AV;LE FOLL;94290;94077;Appartement;29,03;27;2
13129;48;;AV;DE LA REPUBLIQUE;94300;94080;Appartement;44,72;39;3
13130;14;;RUE;DU MIDI;94300;94080;Appartement;47,3;48;3
13131;58;;RUE;DEFRANCE;94300;94080;Appartement;28,22;26;1
13132;35;;RUE;JEAN MOULIN;95100;95018;Appartement;25,65;25;1
13133;12;;RUE;ROGER DEHASQUE;95400;95019;Appartement;66,68;65;3
13134;23;;RUE;DU GENERAL EMPAIN;95570;95091;Appartement;63,19;63;3
13135;27;;AV;FOCH;95240;95176;Appartement;46,06;46;2
13136;8;;RUE;DE LA PALOMBIERE;95800;95183;Appartement;50,18;49;2
13137;75;;AV;JACQUES POTEL;95190;95280;Appartement;52,85;57;3
13138;10;;PL;DU BOIS COURLIS;95220;95306;Maison;74,58;77;4
13139;2;;RUE;DES TUILERIES;95360;95427;Appartement;55,76;56;3
13140;1;;RUE;DE LA ROCHE;95300;95500;Appartement;51,2;60;2
13141;11;;AV;DU GENERAL DE GAULLE;95310;95572;Appartement;97,28;93;6
13142;18;;RUE;DES VIGNES;95470;95580;Maison;118,5;114;5
13143;31;;AV;KELLERMANN;95230;95598;Appartement;51;51;3
13144;600;;LOT;RHUMERIE;97351;973307;Appartement;65,78;91;2
13145;533;;RTE;DE SUZINI;97354;973309;Appartement;36,8;37;2
13146;40;;RUE;VICTOR HUGO;1210;01160;Maison;83,82;80;4
13147;127;;BD;FRANCIS MEILLAND;6160;06004;Appartement;70,3;72;3
13148;1;;AV;EDITH CAVELL;6310;06011;Appartement;69,47;68;3
13149;111;;BD;CARNOT;6400;06029;Appartement;58,08;39;2
13150;38;;RTE;DE VALBONNE;6110;06030;Appartement;45,55;47;2
13151;76;;AV;FRANKLIN ROOSEVELT;6110;06030;Appartement;25,31;26;1
13152;4;;AV;EDOUARD VII;6500;06083;Appartement;27,9;28;1
13153;33;;AV;STEPHEN LIEGEARD;6100;06088;Appartement;15,24;19;1
13154;32;;RUE;VERDI;6000;06088;Appartement;42,9;43;1
13155;23;;RTE;DU   LAGAS;6470;06094;Appartement;79,45;84;3
13156;801;;AV;VIRGINIE HERIOT;6190;06104;Appartement;95,85;99;4
13157;19;;AV;LEONARD ANFOSSI;6700;06123;Appartement;21,77;20;1
13158;1092;;RTE;DU BORD DE MER RN 98;6700;06123;Appartement;65,31;76;3
13159;100;;AV;DU CIREUIL;6270;06161;Appartement;36,78;25;2
13160;9001;;MRN;BAIE DES ANGES GALLION;6270;06161;Appartement;14,32;15;1
13161;113;;AV;DU HUIT MAI 1945;7300;07324;Appartement;70,72;70;3
